incident_no|incident_code|date_reported|status_code|occurred|location_code|address|stolen_value|lost_value|narrative
11003016|ALCOHOL - MINOR IN POSSESSION|8/19/2011 1:21|Cleared by Arrest|Date: 08/19/2011 01:21||N 16TH ST & X ST|0.00|0.00|Traffic stop resulted in two UNL students that were passengers in the vehicle being cited for MIPC and one also being cited for a false I. D.
11003017|LITTERING|8/19/2011 1:42|Cleared by Arrest|Date: 08/19/2011 01:42|Andersen Hall|200 Centennial Mall North|0.00|0.00|UNL student contacted on the east side of Andersen Hall for urinating in public.  Cited for Littering.
11003018|ALCOHOL - MINOR IN POSSESSION|8/19/2011 2:04|Cleared by Arrest|Date: 08/19/2011 02:04|Sandoz Hall|820 North 17th St|0.00|0.00|CSO reported an intoxicated male stumbling on the east side of Sandoz Hall.  UNL student was contacted and cited for MIPC.
11003019|ALCOHOL - MINOR IN POSSESSION|8/19/2011 2:24|Cleared by Arrest|Date: 08/19/2011 02:24||N ANTELOPE VALLEY PKWY & VINE ST|0.00|0.00|CSO reported there was a male party walking east on the north sidewalk of Vine St near N. Antelope Valley Parkway.  UNLPD officer contacted the male and he was cited for MIPC and transported to Detox.
11003020|LITTERING|8/19/2011 2:38|Cleared by Arrest|Date: 08/19/2011 02:38||N 16TH ST & P ST|0.00|0.00|Non UNL person contacted in the alley near 16th and P and was cited for Urinating in Public.
11003024|VANDALISM - OTHER|8/19/2011 10:38|Inactive|between: 08/18/2011 15:00 and 08/19/2011 10:38|Neihardt Residence Center|540 North 16th St|0.00|10.00|Bike lock was damaged but the bike was not stolen.
11003025|ACCIDENTS - P.D. H&R NOT REPORTABLE|8/19/2011 12:05|Cleared by Arrest|between: 08/16/2011 18:00 and 08/18/2011 22:55|19th/Vine Parking Garage|1810 Vine St.|0.00|750.00|Hit and run that occurred in the garage.
11003029|FALSE INFORMATION - GIVEN TO OFC.|8/19/2011 15:53|Cleared by Arrest|between: 08/19/2011 15:53 and 08/19/2011 15:53||N 27TH ST & W ST|0.00|0.00|Non-student cited for Providing False Information after giving a false name. Lodged at county corrections on an outstanding warrant.
11003039|ALCOHOL - DRUNK|8/20/2011 1:55|Cleared by Exception|Date: 08/20/2011 01:55||N 22ND ST & R ST|0.00|0.00|Person found passed out in a yard near 22nd and R Street.  Person transported to Detox.
11003042|ALCOHOL - DWI|8/20/2011 2:07|Cleared by Arrest|Date: 08/20/2011 02:07|Andersen Hall|200 Centennial Mall North|0.00|0.00|Non UNL affiliated male cited for DUI and careless driving. BAC .160.
11003040|ALCOHOL - MINOR IN POSSESSION|8/20/2011 2:08|Cleared by Arrest|Date: 08/20/2011 02:08|Abel Hall|880 North 17th St|0.00|0.00|A male UNL student was contacted on the west side of Abel Hall.  Student was found to be under age and intoxicated.  The student was cited for MIPC.
11003041|ALCOHOL - MINOR IN POSSESSION|8/20/2011 2:46|Cleared by Arrest|Date: 08/20/2011 02:46|Abel Hall|880 North 17th St|0.00|0.00|UNL student found unresponsive due to being intoxicated. Student was a minor. Cited and released to a sober roommate. BA 0.09.
11003049|TRESPASSING|8/20/2011 18:49|Cleared by Exception|Date: 08/20/2011 18:49|Husker Hall|705 North 23rd Street|0.00|0.00|Homeless person found sleeping in a stairwell. Provided the UNL Trespass Policy and escorted off the premises.
11003052|ALCOHOL - MINOR IN POSSESSION|8/20/2011 21:42|Cleared by Arrest|Date: 08/20/2011 21:42|Phi Kappa Psi|1548 S Street|0.00|0.00|Complaint of loud music and people running in the street.  UNL student cited/released for MIPC (.232 BrAC).
11003055|ALCOHOL - MINOR IN POSSESSION|8/20/2011 23:13|Cleared by Arrest|Date: 08/20/2011 23:13|19th/Vine Parking Garage|1810 Vine St.|0.00|0.00|Officer observed a male loading cans from a Bud Light box into a backpack.  UNL student cited/released for MIP.
11003057|ALCOHOL - MINOR IN POSSESSION|8/21/2011 0:20|Cleared by Arrest|Date: 08/21/2011 00:20||X ST & N 16TH ST|0.00|0.00|Traffic Stop.  Officer stopped a vehicle for making an improper U-Turn.  Strong odor of alcoholic beverage emitting from the vehicle.  Four non students cited/released for MIPC (.066, .130, .074 and .021 BrAC).
11003059|ALCOHOL - DRUNK|8/21/2011 1:43|Cleared by Exception|Date: 08/21/2011 01:43||N 14TH ST & W ST|0.00|0.00|Report of an intoxicated male walking northbound from 14th/W.  Non student contacted and taken into Civil Protective Custody.  Transported to Cornhusker Place Detox (.289 BrAC).
11003061|ALCOHOL - DRUNK|8/21/2011 2:37|Cleared by Exception|Date: 08/21/2011 02:37|Morrill Hall|1335 U St|0.00|0.00|UNL student contacted after attempting to enter numerous locked academic buildings.  Had odor of alcoholic beverage emitting from his person and slurred speech.  Transported to Cornhusker Place Detox (.177 BrAC).
11003060|ALCOHOL - MINOR IN POSSESSION|8/21/2011 2:53|Cleared by Arrest|Date: 08/21/2011 02:53||VINE ST & N 16TH ST|0.00|0.00|Traffic Stop.  Strong odor of alcoholic beverage emitting from the vehicle.  Three UNL students were cited/released for MIPC (.140, .101 BrAC).  Two UNL students were cited/Detox for MIPC (Refused)/Fail to Comply.
11003065|VANDALISM - OTHER|8/21/2011 11:51|Inactive|between: 08/15/2011 14:00 and 08/21/2011 11:50|Animal Sciences|1830 North 38th|0.00|100.00|Damage to a bicycle rack outside of Animal Science. $100.00 damage estimated.
11003068|LOST OR STOLEN ITEM|8/21/2011 14:03|Inactive|Date: 08/20/2011 14:30|Stadium Drive Parking Garage|625 Stadium Dr|170.00|0.00|Person lost their wallet in the stadium parking garage, $170 loss.
11003070|LARCENY - STOLEN BIKE|8/21/2011 15:11|Inactive|between: 08/20/2011 16:00 and 08/21/2011 12:00|Cather Hall|609 North 17th St|100.00|0.00|Bike taken from the north Cather Hall bike rack, $100 loss.
11003075|ALCOHOL - DWI|8/22/2011 1:55|Cleared by Arrest|Date: 08/22/2011 01:55||N 17TH ST & Y ST|0.00|0.00|Traffic Stop.  Violated stop sign.  Driver had the strong odor of alcoholic beverage emitting from his person.  Cited/Detox for DWI (.150 BrAC)/No Insurance/Violated Stop Sign.
11003080|TRESPASSING|8/22/2011 11:19|Cleared by Exception|Date: 08/22/2011 11:19|Love Library South|1248 R|0.00|0.00|UNLPD responded to the area of Love Library regarding a solicitation complaint. Two males were handing out fliers for viewing text books for free on the internet.
11003083|FALSE INFORMATION - GIVEN TO OFC.|8/22/2011 13:07|Cleared by Arrest|Date: 08/22/2011 13:07||N 16TH ST & S ST|0.00|0.00|Non UNL affiliated female cited for Possession of False ID following a traffic infraction.
11003084|VANDALISM - BY GRAFFITI|8/22/2011 14:05|Inactive|between: 08/22/2011 12:00 and 08/22/2011 12:00|Abel Hall|880 North 17th St|0.00|0.00|Unknown person(s) stenciled Free Textbooks" BoundlessNow.com in yellow paint on sidewalk by Abel/Sandoz Welcome Center.
11003097|LARCENY - FROM BUILDING|8/23/2011 1:56|Cleared by Exception|between: 08/15/2011 00:00 and 08/17/2011 23:59|Andrews Hall|625 North 14th St|1050.00|0.00|Report of four entry floor mats taken from the 1st floor of building.  Four gray mats were found to be missing from the 2nd floor.
11003099|VANDALISM - OTHER|8/23/2011 7:32|Inactive|between: 08/23/2011 06:30 and 08/23/2011 07:05|Neihardt Residence Center|540 North 16th St|0.00|15.00|Bike lock was damaged. Bike was not stolen.
11003101|LARCENY - FROM BUILDING|8/23/2011 10:48|Inactive|between: 08/23/2011 09:30 and 08/23/2011 10:10|Burnett Hall|1220 T St|70.00|0.00|UNL N card and money stolen from a purse.
11003105|OUTSIDE CRIME - REPORTS OUTSIDE JURISDICTION|8/23/2011 14:03|Inactive|between: 08/22/2011 17:00 and 08/23/2011 06:50||729 CR I|0.00|0.00|Theft of tools from storage area at Agricultural and Research Development Center in Mead Nebraska, unknown total loss. Incident being investigated by Saunders County Sheriff's Office.
11003107|LARCENY - STOLEN BIKE|8/23/2011 16:49|Inactive|between: 08/23/2011 07:50 and 08/23/2011 16:30|Love Library South|1248 R|155.00|0.00|Bike taken from rack under Love Library Link, $155 loss.
11003110|MEDICAL EMERGENCY|8/23/2011 18:15|Cleared by Exception|between: 08/23/2011 18:00 and 08/23/2011 18:15||4300 Holdrege Street|0.00|0.00|One year old vomiting for unknow reasons, taken to Bryan West from 4300 Holdrege Street apartments by LFR.
11003113|ALCOHOL - DRUNK|8/23/2011 21:16|Cleared by Exception|Date: 08/23/2011 21:16|Alpha Gamma Sigma|4001 Holdrege St.|0.00|0.00|Report of an intoxicated female outside the building.  Officer arrived and contacted the female who was extremely intoxicated.  Transported to Cornhusker Place Detox (.262 BrAC).
11003118|ALCOHOL - DWI|8/24/2011 2:18|Cleared by Arrest|Date: 08/24/2011 02:18||N 17TH ST & VINE ST|0.00|0.00|UNL student cited/detox for DWI & MIP-C (.136 BAC). Two other UNL students cited/released for MIP-C (.105 & .140).
11003122|TRAFFIC - SUSPENDED DRIVER|8/24/2011 8:59|Cleared by Arrest|Date: 08/24/2011 08:59||N ANTELOPE VALLEY PKWY & VINE ST|0.00|0.00|Non UNL affiliated male cited for DUS and No valid registration.
11003124|SOLICIT/SELL - WITHOUT LICENSE|8/24/2011 11:36|Cleared by Arrest|Date: 08/24/2011 11:52||R ST & CENTENNIAL MALL|0.00|0.00|Non-student contacted for selling bicycles from a truck. He was cited/released for No Peddler's Permit.
11003134|LITTERING|8/25/2011 1:50|Cleared by Arrest|Date: 08/25/2011 01:50||N 16TH ST & P ST|0.00|0.00|A non-student was cited and released for Littering in Public.
11003135|FIRE (WORKING) - NO ALARM|8/25/2011 7:04|Cleared by Exception|Date: 08/25/2011 07:04|North Stadium||0.00|3000.00|Vehicle fire north of the stadium. Total loss for the car.
11003139|ACCIDENTS - P.D. NOT REPORTABLE|8/25/2011 11:23|Cleared by Exception|Date: 08/25/2011 11:12||STADIUM DR & Salt Creek RDWY|0.00|1700.00|Two vehicle non-injury accident.
11003141|LARCENY - FROM BUILDING|8/25/2011 12:58|Unfounded|between: 08/17/2011 15:00 and 08/23/2011 10:00|Phi Delta Theta|1545 R St.|233.50|0.00|Books taken from a room in the Phi Delta Theta fraternity, $233 loss.
11003146|TELEPHONE - OTHER|8/25/2011 16:06|Cleared by Exception|Date: 08/25/2011 16:06|||0.00|0.00|Family member threatened a UNL student over a family dispute.
11003147|ALCOHOL - DRUNK|8/25/2011 16:47|Cleared by Arrest|Date: 08/25/2011 16:47|Canfield Administration Building|503 N 14th|0.00|0.00|Transient contacted outside the building for extreme intoxication. Transported to Detox with a .286 BAC.
11003153|DISTURBANCE - OTHER|8/25/2011 21:45|Cleared by Exception|Date: 08/25/2011 21:45|Sandoz Hall|820 North 17th St|0.00|0.00|Report of a student having issues with her roommate. UNL Housing aware of the situation.
11003154|ALCOHOL - MINOR IN POSSESSION|8/26/2011 0:51|Cleared by Arrest|Date: 08/26/2011 00:51||N 17TH ST & X ST|0.00|0.00|Four UNL Students were cited/released for MIPC. BAC's 0.176, 0.148, 0.117, 0.093
11003155|VANDALISM - OTHER|8/26/2011 1:00|Inactive|between: 08/26/2011 00:57 and 08/26/2011 01:00|19th/Vine Parking Garage|1810 Vine St.|0.00|200.00|Vandalism to a parked vehicle in the 19th/Vine parking lot. Front windshield was broken.
11003157|ALCOHOL - DWI|8/26/2011 2:38|Cleared by Arrest|Date: 08/26/2011 02:38||N 17TH ST & VINE ST|0.00|0.00|A non-student was cited for DWI and transported to Detox. BAC 0.193.
11003156|ALCOHOL - MINOR IN POSSESSION|8/26/2011 2:51|Cleared by Arrest|Date: 08/26/2011 02:51||N 17TH ST & VINE ST|0.00|0.00|A UNL student was cited for MIPC and transported to Detox. BAC 0.148.
11003158|ALCOHOL - DRUNK|8/26/2011 3:22|Cleared by Exception|Date: 08/26/2011 03:22||N 16TH ST & VINE ST|0.00|0.00|Non-student found passed out in some bushes. He was taken to detox (.136 BAC).
11003163|LARCENY - OTHER OR FROM OPEN AREA|8/26/2011 11:50|Inactive|Date: 08/26/2011 11:45||N 23RD ST & W ST|250.00|0.00|Attempted theft of scrap metal. Suspects left before officers arrived.
11003168|SUSPICIOUS PERSON|8/26/2011 16:12|Inactive|Date: 08/26/2011 16:00|Union-City|1400 R St|0.00|0.00|Report of suspicious purchasing behavior at the University Bookstore. Investigation continues.
11003169|MEDICAL EMERGENCY|8/26/2011 16:49|Cleared by Exception|Date: 08/26/2011 16:49|Schramm Hall|1130 North 14th St|0.00|0.00|UNLPD and LFR responded to a non-UNL affiliated person who had fainted.
11003177|LARCENY - OTHER OR FROM OPEN AREA|8/26/2011 22:24|Inactive|between: 08/26/2011 20:00 and 08/26/2011 21:30|Mabel Lee Hall|840 North 14th St|500.00|0.00|iPhone stolen from the rec fields.
11003179|MEDICAL EMERGENCY|8/26/2011 22:56|Cleared by Exception|Date: 08/26/2011 22:56|Delta Upsilon|1548 Vine St.|0.00|0.00|A UNL student suffered a laceration to the head after slipping a wet surface. Was transported to Bryan West by friends for treatment.
11003181|ALCOHOL - MINOR IN POSSESSION|8/27/2011 0:53|Cleared by Arrest|Date: 08/27/2011 00:53||1033 N. 16th St|0.00|0.00|Two UNL students were cited/released for MIPC. PBT refused. HGN was administered.
11003182|ALCOHOL - MINOR IN POSSESSION|8/27/2011 3:00|Cleared by Arrest|Date: 08/27/2011 03:00||1120 N. 14th St|0.00|0.00|One UNL student and one non-student were cited for MIPC and transported to Detox. BAC's 0.147, 0.101.
11003192|MEDICAL EMERGENCY|8/27/2011 20:34|Cleared by Exception|Date: 08/27/2011 20:34|Union-City|1400 R St.|0.00|0.00|A non-student was transported to St. E's for possible pregnancy complications.
11003193|MEDICAL EMERGENCY|8/27/2011 21:18|Cleared by Exception|Date: 08/27/2011 21:18|17 & R Parking Garage|300 North 17th St|0.00|0.00|UNL staff member slipped on concrete and fell, causing head, neck, and back pain. Transported to hospital by LFR.
11003194|ALCOHOL - MINOR IN POSSESSION|8/27/2011 22:10|Cleared by Arrest|Date: 08/27/2011 22:10||N 17TH ST & Q ST|0.00|0.00|Five  UNL students were cited/released for MIPC. One UNL student was cited for False Information. BAC's 0.064, 0.143, 0.089, 0.037, 0.085.
11003196|NARCOTICS - POSSESSION|8/27/2011 22:51|Cleared by Arrest|Date: 08/27/2011 22:51|Schramm Hall|1130 North 14th St|0.00|0.00|Two UNL students were cited/released for MIP and one was also cited for Possession of Marijuana less than an ounce and Poss. of Paraphernalia.
11003197|ALCOHOL - MINOR IN POSSESSION|8/28/2011 1:13|Cleared by Arrest|Date: 08/28/2011 01:13||N 16TH ST & R ST|0.00|0.00|Three UNL students were cited/released for MIPC. BAC's 0.138, 0.114, 0.072.
11003199|ALCOHOL - DWI|8/28/2011 2:15|Cleared by Arrest|Date: 08/28/2011 02:15||N 17TH ST & VINE ST|0.00|0.00|A non-student was cited for DWI and trasnported to Detox. BAC. 0.125.
11003198|ALCOHOL - MINOR IN POSSESSION|8/28/2011 2:41|Cleared by Arrest|Date: 08/28/2011 02:41||N 16TH ST & U ST|0.00|0.00|A non-student was cited/released for MIPC. BAC 0.096.
11003200|ALCOHOL - MINOR IN POSSESSION|8/28/2011 4:26|Cleared by Arrest|Date: 08/28/2011 04:26|Harper Hall|1150 North 14th St|0.00|0.00|A UNL student was cited for MIPC and transported to Detox. BAC 0.172
11003201|VANDALISM - BY GRAFFITI|8/28/2011 10:12|Inactive|between: 08/26/2011 16:00 and 08/28/2011 10:12||N 19TH ST & Y ST|0.00|50.00|Two trailers vandalized by graffiti writing. "AMOS" was written on the trailers in spray paint.
11003202|DISTURBANCE - OTHER|8/28/2011 15:10|Cleared by Exception|Date: 08/28/2011 15:05|Love Library South|1248 R|0.00|0.00|Male party in Love Library causing a verbal disturbance, contacted in the City Union and given a trespass policy letter.
11003206|MEDICAL EMERGENCY|8/28/2011 22:51|Cleared by Exception|Date: 08/28/2011 22:51|Cather Hall|609 North 17th St|0.00|0.00|LFR dispatched to a UNL student unconscious.  Had been sick during the day and vomiting.  Transported to Bryan West for further treatment.
11003209|TRESPASSING|8/29/2011 0:58|Cleared by Arrest|Date: 08/29/2011 00:58|Oldfather Hall|660 North 12th St|0.00|0.00|Non student contacted in building after building hours.  Numerous contacts for trespassing on UNL property.  Cited/Jail for Trespassing.
11003210|LARCENY - OTHER OR FROM OPEN AREA|8/29/2011 9:04|Inactive|between: 08/25/2011 15:00 and 08/29/2011 07:00|Nelle Cochrane Woods Art Bldg.|1140 R St|0.00|0.00|9 tons of base sand taken from a construction site. $1200.00 loss.
11003211|TRESPASSING|8/29/2011 9:23|Cleared by Exception|between: 06/01/2011 21:00 and 08/24/2011 02:00||2400 N. 14th Street|0.00|0.00|Person using the Innovation Campus Camp Ground shower room. This person is not a paid camper and thus trespassing.
11003212|TELEPHONE - OTHER|8/29/2011 10:24|Cleared by Exception|between: 08/15/2011 10:15 and 08/16/2011 12:00|Animal Sciences|1830 North 38th|0.00|0.00|Person at Animal Sciences building receiving unwanted phone calls.
11003217|LARCENY - FROM BUILDING|8/29/2011 15:16|Unfounded|between: 08/26/2011 12:55 and 08/26/2011 13:00|Hardin Hall|1600 North 33rd St|0.00|0.00|Students football ticket taken from backpack while at Hardin Hall.
11003227|DISTURBANCE - DOMESTIC|8/29/2011 22:48|Cleared by Arrest|Date: 08/29/2011 22:48|Pound Hall|513 North 17th St|0.00|0.00|UNL student made vulgar statements to ex-girlfriend and attempted to make entry into her dorm room.  UNL student cited/released for Disturbing the Peace.
11003230|MEDICAL EMERGENCY|8/30/2011 9:21|Cleared by Exception|Date: 08/30/2011 09:21||N 17TH ST & VINE ST|0.00|0.00|UNL student transported to Bryan/LGH West after falling off his bicycle and sustained a laceration to his foot.
11003235|VANDALISM - OTHER|8/30/2011 14:25|Inactive|between: 08/18/2011 06:45 and 08/18/2011 21:00|University Health Center|1500 U Street|0.00|200.00|Vehicle keyed while parked in the University Health Center parking lot by unknow person(s), $200 damage.
11003234|MEDICAL EMERGENCY|8/30/2011 14:39|Inactive|Date: 08/30/2011 14:39|Andrews Hall|625 North 14th St|0.00|0.00|Person felling lighted headed and rapid heart rate in Andrews Hall, treated by LFR, refused transport.
11003240|FALSE INFORMATION - GIVEN TO CITIZEN|8/30/2011 14:51|Cleared by Exception|Date: 03/22/2011 07:56||Q ST & N 16TH ST|0.00|0.00|False name given to officer on traffic stop in March 2011.
11003236|LOST OR STOLEN ITEM|8/30/2011 14:52|Inactive|between: 08/30/2011 10:45 and 08/30/2011 12:30||1030 N. 16th Street|55.00|0.00|Person lost their wallet in the area of Nebraska Hall, $55 loss.
11003241|LOST OR STOLEN ITEM|8/30/2011 16:02|Inactive|between: 08/30/2011 12:20 and 08/30/2011 12:50|Union-City|1400 R Street|40.00|0.00|Person lost their wallet in the City Union, $40 loss.
11003243|LOST OR STOLEN ITEM|8/30/2011 18:15|Unfounded|between: 08/30/2011 18:15 and 08/30/2011 18:15|||30.00|0.00|UNL student reports the loss of her ID holder.
11003245|TRAFFIC - SUSPENDED DRIVER|8/30/2011 20:34|Cleared by Arrest|Date: 08/30/2011 20:34||N ANTELOPE VALLEY PKWY & Salt Creek RDWY|0.00|0.00|Traffic Stop.  Expired registration tags.  Driver found to be suspended.  Cited/released for DUS/No Valid Registration.
11003247|VANDALISM - BY GRAFFITI|8/30/2011 21:59|Inactive|Date: 08/30/2011 21:30|Robert E. Knoll Residence Center|440 N 17th Street|0.00|0.00|Report of the letters "EKU" spray painted on the west side of the building in green spray paint.  Maintenance notified.
11003249|NARCOTICS - OTHER|8/30/2011 22:52|Inactive|Date: 08/29/2011 20:00|Abel Hall|880 North 17th St|0.00|0.00|Report of a belated narcotics violation.
11003253|ACCIDENTS - P.D. NOT REPORTABLE|8/31/2011 5:30|Inactive|Date: 08/31/2011 05:24|14th & Avery Parking Garage|1111 North 14th St|0.00|50.00|UNL vehicle struck a sign in the garage causing minimal damage.
11003256|VANDALISM - BY GRAFFITI|8/31/2011 9:01|Inactive|:|Canfield Administration Building|503 N 14th|0.00|65.00|Graffiti on the west side of Canfield consisting of black writing "RAI" or similar and a black cat sitting on a ledge.
11003255|MEDICAL EMERGENCY|8/31/2011 9:14|Cleared by Exception|Date: 08/31/2011 09:12|Richards Hall|560 Stadium Dr|0.00|0.00|UNL student passed out outside of Richards Hall and struck his head. Transported to the hospital by LFR.
11003258|VANDALISM - BY GRAFFITI|8/31/2011 10:59|Inactive|:|Nelle Cochrane Woods Art Bldg.|1140 R St|0.00|20.00|Graffiti on the south side of the building.
11003260|LOST OR STOLEN ITEM|8/31/2011 13:03|Inactive|between: 08/26/2011 19:00 and 08/26/2011 21:00|Mabel Lee Hall|840 North 14th St|10.00|0.00|Wallet lost near the recreation fields.
11003262|FRAUD - CREDIT CARDS/ATM/BANK CARD|8/31/2011 13:32|Inactive|:||Golden Wok, 1050 N 27th|0.00|0.00|Stolen credit card used at local establishments.
11003264|PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC|8/31/2011 16:00|Inactive|between: 08/31/2011 15:45 and 08/31/2011 15:55|17 & R Parking Garage|300 North 17th St|0.00|500.00|UNL owned iPad 2 damaged when it fell off the roof of a car in the 17th and R parking garage. $500 damage.
11003271|LOST OR STOLEN ITEM|8/31/2011 21:28|Inactive|between: 08/31/2011 20:15 and 08/31/2011 21:00||1433 W. St|200.00|0.00|A UNL student lost his phone at the Mable Lee Rec Fields.
11003272|NARCOTICS - POSSESSION|8/31/2011 21:32|Cleared by Arrest|Date: 08/31/2011 21:32|Schramm Hall|1130 North 14th St|0.00|0.00|A UNL student was cited/released for Possession of Marijuana less than an ounce and Possession of Drug Paraphernalia.
11003279|LARCENY - FROM BUILDING|9/1/2011 12:19|Inactive|between: 09/01/2011 09:00 and 09/01/2011 10:45|Military & Naval Science|1360 Vine St|660.00|0.00|UNL student had her backpack taken from a lounge in M&N and later found in Andrews Hall. Several items were missing. Total loss $660.
11003282|ACCIDENTS - P.D. NOT REPORTABLE|9/1/2011 16:30|Inactive|between: 09/01/2011 13:40 and 09/01/2011 13:50||1111 N. 14th Street|0.00|0.00|UNL student reported possibly striking another vehicle while parking.
11003284|DISTURBANCE - OTHER|9/1/2011 17:19|Inactive|between: 08/01/2011 13:00 and 08/29/2011 13:00|||0.00|0.00|A disturbance over Skype was reported. Investigation on-going.
11003285|LOST OR STOLEN ITEM|9/1/2011 17:48|Cleared by Exception|:||14th/ Vine St|805.00|0.00|UNL student misplaced backpack and contents thereof at or near a bus stop.
11003290|ALCOHOL - DRUNK|9/2/2011 1:07|Cleared by Exception|Date: 09/02/2011 01:07|University Health Center|1500 U St|0.00|0.00|A non-student was placed into civil protective custody and transported to Detox. He was then evaluated by medical staff at Bryan LGH West. BAC 0.351.
11003291|ALCOHOL - MINOR IN POSSESSION|9/2/2011 1:16|Cleared by Arrest|Date: 09/02/2011 01:16|Kappa Kappa Gamma|616 North 16th St.|0.00|0.00|A UNL student was cited for MIPC and transported to Detox. BAC 0.210.
11003292|LITTERING|9/2/2011 1:30|Cleared by Arrest|Date: 09/02/2011 01:30||N 16TH ST & P ST|0.00|0.00|A UNL student was cited/released for Urinating in Public.
11003293|FIREWORKS - DISTURBANCE|9/2/2011 1:45|Cleared by Arrest|Date: 09/02/2011 01:45|Delta Tau Delta|715 North 16th St.|0.00|0.00|A UNL student was cited/released for False Reporting, MIPC, Possess/Discharge Fireworks. BAC 0.146
11003295|ALCOHOL - MINOR IN POSSESSION|9/2/2011 3:14|Cleared by Arrest|Date: 09/02/2011 03:14|HSS North Lot|1220 N 14th St|0.00|0.00|A non-student was cited for MIPC and was transported to Detox. BAC 0.158.
11003296|ALCOHOL - MINOR IN POSSESSION|9/2/2011 4:56|Cleared by Arrest|Date: 09/02/2011 04:56|Smith Hall|1120 North 14th St|0.00|0.00|A UNL student was cited for MIPC. BAC 0.029.
11003299|LARCENY - FROM MOTOR VEHICLE|9/2/2011 9:29|Inactive|between: 09/01/2011 09:30 and 09/01/2011 14:30||1033 North 16th Street|149.00|0.00|Season football tickets stolen from a car.
11003300|LARCENY - STOLEN BIKE|9/2/2011 9:39|Inactive|between: 08/31/2011 17:00 and 08/31/2011 20:00|Campus Recreation Center|841 North 14th St|269.00|10.00|Bicycle stolen from the racks at the Rec Center.
11003301|ACCIDENTS - P.D. H&R NOT REPORTABLE|9/2/2011 9:46|Inactive|Date: 09/01/2011 23:00|Chi Omega|480 North 16th St.|0.00|1000.00|UNL student reported damage to her vehicle while parked in a sorority parking lot.
11003305|NARCOTICS - POSSESSION|9/2/2011 13:24|Cleared by Arrest|Date: 09/02/2011 13:24|Benton Hall|1535 U St|0.00|0.00|Report of persons smoking marijuana. One UNL student cited for Poss of Drug Paraphernalia; another student cited for Poss of Marijuana &lt; 1 oz. .2 gram
11003308|ACCIDENTS - P.D. H&R NOT REPORTABLE|9/2/2011 18:32|Inactive|between: 08/31/2011 18:20 and 09/02/2011 18:30||1220 North 14th|0.00|750.00|Report of a belated hit and run in the HSS parking lot.
11003310|LOST OR STOLEN ITEM|9/2/2011 20:33|Inactive|between: 09/01/2011 20:00 and 09/02/2011 13:00||1433 W Street|30.00|0.00|A UNL student reported he left his wallet at the Mabel Lee Rec Fields and it is now missing.
11003312|VANDALISM - OTHER|9/3/2011 0:12|Inactive|Date: 09/02/2011 23:30|Selleck Quad|600 North 15th St|0.00|75.00|Vandalism to the glass door of the Selleck 5000 building.
11003313|ALCOHOL - MINOR IN POSSESSION|9/3/2011 0:22|Cleared by Arrest|Date: 09/03/2011 00:22||N 17TH ST & VINE ST|0.00|0.00|A UNL student was cited for MIPC and was transported to Detox. BAC 0.242
11003314|LITTERING|9/3/2011 1:35|Cleared by Arrest|Date: 09/03/2011 01:35||N 16TH ST & P ST|0.00|0.00|A UNL student was cited/released for Urinating in Public and was lodged on a Buffalo Co. Warrant.
11003316|ALCOHOL - MINOR IN POSSESSION|9/3/2011 1:40|Cleared by Arrest|Date: 09/03/2011 01:40|Selleck Quad|600 North 15th St|0.00|0.00|A UNL student was cited/released for MIPC. BAC 0.163
11003323|DISTURBANCE - OTHER|9/3/2011 1:40|Cleared by Exception|Date: 09/03/2011 01:40||N 16TH ST & U ST|0.00|0.00|A disturbance involving members of the Sigma Alpha Epsilon fraternity.
11003318|NARCOTICS - POSSESSION|9/3/2011 2:00|Cleared by Arrest|Date: 09/03/2011 02:00||N ANTELOPE VALLEY PKWY & VINE ST|0.00|0.00|One UNL student was cited/released for MIPC, Poss of Marijuana less than ounce and Open Container,  One UNL student and three non-students were cited/released for MIPC/Open Container. BAC"s 0.079, 0.123, 0.200, 0.096.
11003317|LITTERING|9/3/2011 2:01|Cleared by Arrest|Date: 09/03/2011 02:01|Andersen Hall|200 Centennial Mall North|0.00|0.00|A UNL student was cited/released for Urinating in Public.
11003319|LITTERING|9/3/2011 2:50|Cleared by Arrest|Date: 09/03/2011 02:50||N 16TH ST & HOLDREGE ST|0.00|0.00|A non-student was cited/released for Urinating in Public.
11003321|ALCOHOL - DRUNK|9/3/2011 3:11|Cleared by Exception|Date: 09/03/2011 03:11|515 N 19th Parking Lot Vine to|515 North 19th St.|0.00|0.00|A UNL student was placed into civil protective custody and was transported to Detox. BAC 0.202
11003322|ALCOHOL - DRUNK|9/3/2011 4:28|Cleared by Exception|Date: 09/03/2011 04:28|UNL Police|300 North 17th St.|0.00|0.00|UNL student came to UNLPD to request a ride to detox (.165 BAC).
11003326|LARCENY - FROM BUILDING|9/3/2011 9:09|Cleared by Exception|between: 09/03/2011 09:00 and 09/03/2011 09:09|Casey's|1540 P St.|100.00|0.00|Personal cell phone was taken from behind the counter.
11003334|LITTERING|9/3/2011 15:17|Cleared by Arrest|Date: 09/03/2011 15:17|Morrill Hall|1335 U St|0.00|0.00|UNL student cited/released for Littering (Urinating in Public) during the football game.
